"name","url","hash","last_checked","last_changed"
"IIT Jammu","https://iitjammu.ac.in/faculty-search-cum-selection","4504ab1b110de9b88307b5a6cb2b9b18","2026-09-25 03:20:40.44464","2026-09-13 11:40:15.776471"
"IIT Dharwad","https://www.iitdh.ac.in/faculty-recruitment","a867d62956af89c59855169f6036ed0c","2026-09-25 03:20:43.548527","2026-09-13 11:40:18.848499"
"IIT (ISM) Dhanbad","https://www.iitism.ac.in/faculty-positions","7fd2abfbb94c60971b048116c6a57431","2026-09-25 03:20:46.697466","2026-09-24 16:28:39.28808"
"IIT Tirupati","https://www.iittp.ac.in/facultyrecruitment","e770f8e9bf6f8873e71a58fb35b30c92","2026-09-25 03:20:48.826385","2026-09-13 11:40:30.242269"
"IIT Palakkad","https://facap.iitpkd.ac.in/","b872c65755dfd4f1f6b6ad631844dbfb","2026-09-25 03:20:51.595476","2026-09-21 11:57:02.495576"
"IIT Mandi","https://iitmandi.ac.in/recruitments/teaching","675d23bb2d28cf5bd7b0d0839e752f12","2026-09-25 03:20:54.001844","2026-09-22 10:57:56.974895"
"IIT Indore","https://www3.iiti.ac.in/recruitments/faculty-positions","8195d06fe44de2f901e1577e7003f0bc","2026-09-25 03:20:57.575648","2026-09-13 11:40:37.948577"
"IIT Ropar","https://www.iitrpr.ac.in/faculty-positions","e70b41d9e970a893d15be483b9df0c30","2026-09-25 03:21:00.111616","2026-09-13 11:40:40.615794"
"IIT Patna","https://www.iitp.ac.in/notices","e324761693a220908732a6a4cb291db3","2026-09-25 03:21:04.651433","2026-09-13 11:40:43.690485"
"IIT Hyderabad","https://iith.ac.in/careers/","485282e844a5f7f9457c167cf4d74c53","2026-09-25 03:21:08.523646","2026-09-23 10:44:48.088314"
"IIT Bhubaneswar","https://www.iitbbs.ac.in/index.php/faculty-affairs/faculty-recruitment/","ef0dcf44c3da131a86cc2dd09cb14076","2026-09-25 03:21:12.92872","2026-09-24 11:07:00.368118"
"IIT Roorkee","https://iitr.ac.in/Careers/Faculty%20Positions/index.html","5a4595f915ce05db79a9431a44915582","2026-09-25 03:21:15.88537","2026-09-13 11:40:54.455423"
"IIT Guwahati","https://iitg.ac.in/iitg_page_details?page=61/fac_rec","d8b92e3960669b0b44e51766c4445740","2026-09-25 03:21:18.793461","2026-09-13 11:40:57.28458"
"IIT Delhi","https://home.iitd.ac.in/jobs-iitd/index.php","881804d11029411cc3479cecf1c01b8f","2026-09-25 03:21:21.991151","2026-09-24 11:07:10.62318"
"IIT Kanpur","https://iitk.ac.in/eco/faculty-recruitment","80b2884f084eb9f78a8496706021ad91","2026-09-25 03:21:24.657569","2026-09-13 11:41:02.661101"
"IIT Madras","https://facapp.iitm.ac.in/","ee5e589500161120b9f9bedc254a4c64","2026-09-25 03:21:27.190104","2026-09-25 03:21:27.190176"
"IIT Kharagpur","https://erp.iitkgp.ac.in/Jobs/auth/facapps.htm","b288f2a575f68032b31c2bce1f6c636d","2026-09-25 03:21:29.639426","2026-09-13 11:41:07.750533"
"IIT Goa","https://iitgoa.ac.in/faculty-position/","ff4f638aa91305043af32fa752ab3694","2026-09-25 03:20:38.304527","2026-09-13 12:11:32.236889"
"Testing","https://en.wikipedia.org/wiki/Special:RecentChanges?hidebots=1&hidecategorization=1&hideWikibase=1&limit=50&days=1&urlversion=2","7ef264bbcf4518dd383203b345e80fcc","2026-09-25 03:21:31.753784","2026-09-25 03:21:31.753859"
